Typhoid,"Byaktiriyam salmonella taiphi sonkininda untaguva jvaradinda nirupisalpatta tivravada kayile. Jvara, talenovu, malabad'dhate, asvasthate, sita mattu snayu novinondige taiphayid jvaravu kapata akramanavannu hondide. Atisaravu asaman'yavagide mattu vanti saman'yavagi tivravagiruvudilla."
Hepatitis B,"Hepataitis b nim'ma yakr?ttina sonku. Idu angada gurutu, yakr?ttina vaiphalya mattu kyansarge karanavagabahudu. Cikitse nidadiddare adu marakavagabahudu. Hepataitis bi vairas hondiruva vyaktiya rakta, tereda hunnugalu athava dehada dravagalondige janaru samparkakke bandaga idu haraduttade."
Fungal infection,"Manavaralli, akramanakari silindhravu dehada pradesavannu akramisikondaga mattu pratiraksana vyavastheyu nibhayisalu tumba heccadaga silindhragala sonku sambhavisuttade. Silindhragalu gali, mannu, niru mattu sasyagalalli badukaballavu. Manava dehadalli naisargikavagi vasisuva kelavu silindhragalu saha ive. Aneka suksmajivigalante, sahayaka silindhragalu mattu hanikaraka silindhragalu ive."
Hepatitis C,"Hepataitis C vairas (HCV) nindagi yakr?ttina uriyuta, idu saman'yavagi rakta vargavane (aparupada), himodayalisis mattu suji kaddigala mulaka haraduttade. Hepataitis si yakr?ttige maduva haniyu sirosis mattu adara todakugalu mattu kyansarge karanavagabahudu."
Migraine,"Maigren saman'yavagi taleya ondu badiyalli tivravada throbing novu athava nadi sanvedaneyannu untumadabahudu. Idu saman'yavagi vakarike, vanti mattu belaku mattu dhvanige tivravada sanvedaneyondige iruttade. Maigren daliyu gantegalinda dinagalavarege iruttade mattu novu tumba tivravagiruttade mattu adu nim'ma dainandina catuvatikegalige addipadisuttade."
Bronchial Asthma,"Svasanalada astamavu vaidyakiya sthitiyagiddu, svasakosada vayumargavu udikollalu mattu kiridaguvante maduttade. I utadindagi, galiya margavu heccuvari loleyannu utpadisuttade, idu usiradalu kastavaguttade, idu kem'muvike, sanna usirata mattu ubbasakke karanavaguttade. Rogavu dirghakalada mattu dainandina kelasadalli hastaksepa maduttade."
Alcoholic hepatitis,"Alkohalyukta hepataitis ondu rogagrasta, yakr?ttina uriyutada sthitiyagiddu, dirghakaladavarege atiyada alkohal sevaneyinda untaguttade. Idu atiyagi kudiyuva mattu nadeyuttiruva madyada balakeyinda ulbanagolluttade. Nivu i sthitiyannu abhivr?d'dhipadisidare, nivu alkohal kudiyuvudannu nillisabeku"
Jaundice,"Pittarasa varnadravyada bailirubin?na asahajavagi adhika raktada mattagalinda carma mattu sklera (kannina bilibhaga) haladi kalegalu. Haladi bannavu itara angansagalu mattu dehada dravagalige vistarisuttade. Kamaleyannu om'me""morbas rejiyas"" (rigal kayile) endu kareyalaguttittu, rajana sparsadinda matra adannu gunapadisabahudu"
Hepatitis E,Hepataitis i vairas (HEV) sonkininda untaguva yakr?ttina uriyutada aparupada rupa. Idu sonkita vyaktiyinda nirvahisalpaduva ahara athava paniyada mulaka athava malavu nirinalli serabahudada pradesagalalli sonkita niru sarabarajugala mulaka haraduttade. Hepataitis i dirghakalada yakr?ttina kayilege karanavaguvudilla.
Dengue,"Phlavivairas?ninda untaguva tivravada sankramika roga (phlevivairas kulada dengyu vairas) idis sollegalinda haraduttade mattu talenovu, tivravada kilu novu mattu daddugalinda nirupisalpattide. Idannu mule murita, dengyu jvara endu kareyuttare."
Hepatitis D,"Hepataitis di annu hepataitis delta vairas endu kareyuttare, idu yakruttu uriyutakke karanavaguva sonku. I utavu yakr?ttina karyavannu durbalagolisuttade mattu yakruttina gurutu mattu kyansar seridante dirghakalada yakr?ttina samasyegalannu untumaduttade. I sthitiyu hepataitis di vairas (HDV) ninda untaguttade."
Heart attack,Rakta puraikeya nastadindagi hr?daya snayuvina savu. Rakta puraikeya nastavu saman'yavagi hrdaya snayuvige raktavannu puraisuva apadhamanigalalli ondada paridhamaniya sampurna tadegattuvikeyinda untaguttade.
Pneumonia,"N'yumoniya ondu athava eradu svasakosagalalli sonku. Byaktiriya, vairas?galu mattu silindhragalu idakke karanavaguttave. Sonku nim'ma svasakosadallina galiya cilagalalli uriyutavannu untumaduttade, idannu alviyoli endu kareyalaguttade. Alviyoli drava athava kivu tumbuttade, usiradalu kastavaguttade."
Arthritis,"Sandhivatavu nim'ma ondu athava heccina kilugala uta mattu mrdutvavagide. Sandhivatada mukhya laksanagalendare kilu novu mattu bigita, idu saman'yavagi vayas'sadante hadageduttade. Sandhivatada saman'ya vidhagalendare asthisandhivata mattu sandhivata."
Gastroenteritis,"Gyastro'entaraitis ennuvudu jirnangavyuhada uriyutavagide, visesavagi hotte mattu dodda mattu sanna karulu. Vairal mattu byaktiriyada gyastro'entaraitis atisara, kibbotteya seleta, vakarike mattu vantiya laksanagalige sambandhisida karulina sonkugalu."
Tuberculosis,"Ksayaroga (tibi) saman'yavagi maikobyaktiriyam tyubarkyulosis (entibi) byaktiriyadinda untaguva sankramika kayileyagide. Ksayarogavu saman'yavagi svasakosada mele parinama biruttade, adare dehada itara bhagagala mele parinama biruttade. Heccina sonkugalu yavude rogalaksanagalannu torisuvudilla, ee sandarbhadalli idannu supta ksayaroga endu kareyalaguttade."

